publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-23T09:24:37Z,@SapDin-n8w,"Satelit mantau bossku pak presiden, orang orang berduit nebar satelit banyak tujuannya bukan hanyak untuk menjangkau pelosok biar kebagian internet,TERNYATA MANTAU PERGERAKAN SETIAP NEGARA JUGA. BERSIAPLAH....",0
2024-10-23T09:22:57Z,@SapDin-n8w,Apa satelit,0
2024-10-23T09:22:25Z,@SapDin-n8w,"Jl msiban, kunciran indah kecamatan pinang kota Tangerang, di KTP nama saya saprudin kampung Bojong poncol.<br><br>Anak almarhum pak guru swandi dan ibu Yati almarhumah.<br><br>Sekian,bisikan ghoib atau telepati ada yg nantangin.",0
2024-10-23T09:21:08Z,@SapDin-n8w,"Apa, mau tau rumah gw",0
2024-10-23T09:15:17Z,@SapDin-n8w,"Saya wasilah PEMUDA INDONESIA dan menyampaikan pesan dari guru saya tentang ilmu dunia yaitu tymoti atau salah satu youtuber Bitcoin tolong PERHATIKAN GAJI GURU INDONESIA .<br><br><br>INTINYA POKOKNNYA GAJI GURU NAIK 11 JUTA KALO KAGA GW GONCANG DUNIA DENGAN BENCANA ALAM LEBIH DASYAT!<br><br>GW ANCEMLUH PAK PRESIDEN AKAN SUARA HATI RAKYAT. <br><br> sekian dari saya hamba ALLAH semata, bila ada tutur kata yang tidak sopan , mohon maaf, wabilahitofiq walhidayah wassalamu a&quot;laikum wr wb.<br><br><br><br>Saya tunggu kalian DINERAKA!",0
2024-10-23T09:09:51Z,@SapDin-n8w,"Wahai presiden engkaulah baru tolong suara kami DENGERKAN, DAN TERAPKAN. SUARA YANG KELUAR DARI HATI NURANI AGAR AKAL KITA BERJALAN, NAIKKAN GAJI GURU SEBESAR BESARNYA 11 JUTA BAPAK SEMUA RAKYAT. (IMAN) ALQURAN AYAT 11 BIAR TUHAN INGAT KITA MAKA KITA SELALU HARUS MENGINGATNYA.<br><br>SAYA GAK KASIH TAU AYAT BERAPA BIAR KALIAN BUKA ALQURAN DAN PELAJARI SEMUA UNTUK SEMUA KALANGAN.BIAR BISA PULANG KAMPUNG KE SURGA.<br><br>INGAT MANUSIA ALIEN SEBENARNYA DI DUNIA INI, KAMPUNG KITA IALAH SURGA BEGITULAH KETERANGAN SEJARAH DALAM ALQURAN TENTANG ADAM AS, BUKAN TENTANG TENTANG SEJARAH TEORI DARWIN MONYET.<br><br><br>JADI KITA COCOLOGI SECARA TERSIRAT DAN TERSURAT, JIKA KAU MULIA MAKA KAU DEWA ATAU NAIK MAKOMMU ATAU DERAJATMU DI MATA ALLAH DAN SEPERTI LAGU IWAN FALS YAITU MANUSIA SETENGAH DEWA,TAPI JIKA KAU MONYET BERDASI MAKA TAMAKLAH DIRIMU AKAN UANG DAN JABATANMU.<br><br>DEMOKRASI PAK,SAYA PEMILU COBLOS NOMER 2 KO,KOMITMEN DARI TAHUN SEBELUMNYA, APA ITU DEMOKRASI YAITU SUARA RAKYAT= DARI RAKYAT OLEH RAKYAT DAN UNTUK RAKYAT.<br><br>JAYA NEGARAKU INDONESIA MAJU DAN BERMASLAHAT.",0
2024-10-23T09:01:39Z,@SapDin-n8w,"<a href=""http://www.youtube.com/results?search_query=%23kita"">#KITA</a> SEMUA KACUNG TUHAN.",0
2024-10-23T09:01:04Z,@SapDin-n8w,"Bukan keindahan hati melainkan AMAL KEBAIKAN YANG DIANTARANYA( KESOLEHAN SHOLAT,dll dan  DOA ANAK SOLEH, SEDEKAH ATAU SEDAQOH ENTAH AMAL BERUPA UANG, JASA  SEPERTI RELAEWAN,ADAPUN ADAB ATAU SOPAN SANTUN SEPERTI SENYUMAN, DAN TERAKHIR ILMU YANG BERMANFAAT &#39;KEJARLAHLAH ILMU SAMPAI LIANG LAHAT  WALAUPUN ILMU ITU TIDAK BERASAL DARI ISLAM SUNGGUH =TUHAN MENYURUH KITA DALAM ALQURAN,TELAH KUCIPTAKAN LANGIT DAN BUMI UNTUK KALIAN MANFAATKAN JADI = SEMOGA BERMANFAAT.( ALQURAN)",0
2024-10-23T08:40:29Z,@CilaPriscila-hu3ed,apa cuma saya yg terharu liat ini,0
2024-10-23T07:21:46Z,@johanbalqis3120,"Alhamdulillah,, saya Tki di Malaysia Bangga,,, dengan pelantikan Bapak Presiden dan Wakil Presiden Republik  Indonesia, semoga Indonesia selalu dalam lindungan Allah SWT,,",0
