text_clean,text_preprocess
rakyat indonesia tidak salah memilih presiden dan wapres kedua beliau ramah santun dan berwibawa insyaallah amanah untuk rakyat nkri,"['rakyat', 'indonesia', 'salah', 'pilih', 'presiden', 'wapres', 'beliau', 'ramah', 'santun', 'wibawa', 'insyaallah', 'amanah', 'rakyat', 'nkri']"
masyaallah bapak panutan sekali sebelum dilantik menyambut dan memberi arahan semua tamu negara dg santun ,"['masyaallah', 'panutan', 'lantik', 'sambut', 'arah', 'tamu', 'negara', 'dg', 'santun']"
paling benci tengok wapres karbitan moga kelak kayak khmaruf cuma jadi pajangan doangamin,"['benci', 'tengok', 'wapres', 'karbitan', 'moga', 'kelak', 'kayak', 'khmaruf', 'pajang', 'doangamin']"
kalo diem doang buat apa ada wakil gila kalo mauu doanya yg baik semoga wapresnya membuktikan kemampuannya mengiringi program yg dituju oleh presiden doa buat negara sendiri ko jelek,"['kalo', 'diem', 'doang', 'wakil', 'gila', 'kalo', 'mauu', 'doa', 'yg', 'moga', 'wapresnya', 'bukti', 'mampu', 'iring', 'program', 'yg', 'tuju', 'presiden', 'doa', 'negara', 'ko', 'jelek']"
memang tulus pak prabowo inidengan ucapan almarhum gusdur,"['tulus', 'prabowo', 'inidengan', 'ucap', 'almarhum', 'gusdur']"
selamat bertugas pak prabowo serta terima kasih untuk pak jokowi atas  tahun nya semoga sehat selalu amin ,"['selamat', 'tugas', 'prabowo', 'terima', 'kasih', 'jokowi', 'nya', 'moga', 'sehat', 'amin']"
tolong pak prabowogenerasi muda sangat memperhatikan sekarang inianak anak muda jaman sekarang banyak yang mengkomsumsi obat tramadolbrsaya sudah sering lapor ke polsekpolres tapi tetap tidak ada tindakan malah pengedar pada kordinasi sama polisi brtolong pak jangan sampe rusak generasi muda ini oleh oknum bajingan brhampir semua oknum polisi terlibat pak saya bingung pak mau lapor kemana lagi  brya allah semoga pemerintah ada yg mendengar keluhan saya ,"['tolong', 'prabowogenerasi', 'muda', 'perhati', 'inianak', 'anak', 'muda', 'jaman', 'mengkomsumsi', 'obat', 'tramadolbrsaya', 'lapor', 'polsekpolres', 'tindak', 'edar', 'kordinasi', 'polisi', 'brtolong', 'sampe', 'rusak', 'generasi', 'muda', 'oknum', 'bajing', 'brhampir', 'oknum', 'polisi', 'libat', 'bingung', 'lapor', 'mana', 'brya', 'allah', 'moga', 'perintah', 'yg', 'dengar', 'keluh']"
macan asia akan bangun lagi,"['macan', 'asia', 'bangun']"
terimakasih bpk jokowi atas pengambiadan bpk selama ini untuk pak prabowo selamat menjadi pemimpin bangsa indonesia semoga menjadikan bangsa ini lebih baik dan lebih maju,"['terimakasih', 'bpk', 'jokowi', 'pengambiadan', 'bpk', 'prabowo', 'selamat', 'pimpin', 'bangsa', 'indonesia', 'moga', 'jadi', 'bangsa', 'maju']"
a href lucu sekali,"['a', 'href', 'lucu']"
pak anis sama pak ganjar pasti kesel liat ini sabar ya pak oke gas oke gas nomer  tancap gas ,"['anis', 'ganjar', 'kesel', 'liat', 'sabar', 'ya', 'oke', 'gas', 'oke', 'gas', 'nomer', 'tancap', 'gas']"
kenapa ya indonesia ga buat akun youtube terus suruh seluruh masyarakat indonesia subscribekan lumayan auto klah mr beast,"['ya', 'indonesia', 'ga', 'akun', 'youtube', 'suruh', 'masyarakat', 'indonesia', 'subscribekan', 'lumayan', 'auto', 'klah', 'mr', 'beast']"
selamat untuk pak presiden prabowo subianto dan wakil presiden mas gibran rakabuming raka semoga membawa indonesia lebih makmur,"['selamat', 'presiden', 'prabowo', 'subianto', 'wakil', 'presiden', 'mas', 'gibran', 'rakabuming', 'raka', 'moga', 'bawa', 'indonesia', 'makmur']"
sangkuni ko duduknya di grub b  itu kan tempat nya orang terhormat  tempatnya mantan presiden dan wakil presiden  tu kan kurang gimana coba baiknya presiden jokowi dan prabowo  segitu di nyinyirin  tapi masih dikasi tempat terhormat ,"['sangkuni', 'ko', 'duduk', 'grub', 'b', 'nya', 'orang', 'hormat', 'tempat', 'mantan', 'presiden', 'wakil', 'presiden', 'tu', 'gimana', 'coba', 'baik', 'presiden', 'jokowi', 'prabowo', 'segitu', 'nyinyirin', 'kasi', 'hormat']"
rapat opo to ki mbok yo biasa wae ilo,"['rapat', 'opo', 'to', 'ki', 'mbok', 'yo', 'wae', 'ilo']"
